,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
54,Carroll,County,VA,1.3,1.3,1.31,1.35,1.39,1.45
55,Cecil,County,MD,1.31,1.32,1.32,1.33,1.37,1.42
56,Centre,County,PA,1.3,1.33,1.36,1.39,1.41,1.45
57,Charles,County,MD,1.26,1.33,1.37,1.43,1.52,1.64
58,Charles City,County,VA,1.27,1.27,1.28,1.31,1.35,1.38
59,Charlotte,County,VA,1.32,1.31,1.33,1.36,1.39,1.48
60,Charlottesville,City,VA,1.31,1.32,1.37,1.42,1.48,1.52
61,Chemung,County,NY,1.25,1.28,1.3,1.36,1.39,1.46
62,Chenango,County,NY,1.26,1.28,1.31,1.33,1.38,1.42
63,Chesapeake,City,VA,1.32,1.37,1.39,1.43,1.49,1.53
64,Chester,County,PA,1.28,1.32,1.34,1.4,1.46,1.54
65,Chesterfield,County,VA,1.31,1.35,1.39,1.42,1.45,1.52
66,Clarion,County,PA,1.3,1.33,1.36,1.39,1.43,1.49
67,Clarke,County,VA,1.36,1.34,1.36,1.39,1.41,1.42
68,Clay,County,WV,1.23,1.23,1.23,1.28,1.34,1.43
69,Clearfield,County,PA,1.3,1.31,1.32,1.36,1.42,1.47
70,Clinton,County,PA,1.27,1.3,1.34,1.39,1.44,1.5
71,Colonial Heights,City,VA,1.28,1.33,1.37,1.41,1.45,1.48
72,Columbia,County,PA,1.3,1.31,1.33,1.39,1.47,1.56
73,Cortland,County,NY,1.27,1.3,1.32,1.36,1.39,1.43
74,Covington,City,VA,1.26,1.34,1.36,1.45,1.54,1.72
75,Craig,County,VA,1.35,1.38,1.38,1.4,1.43,1.45
76,Crawford,County,PA,1.28,1.29,1.3,1.34,1.38,1.43
77,Culpeper,County,VA,1.32,1.32,1.34,1.36,1.37,1.4
78,Cumberland,County,NJ,1.28,1.31,1.32,1.39,1.47,1.55
79,Cumberland,County,PA,1.35,1.38,1.39,1.39,1.41,1.49
80,Cumberland,County,VA,1.32,1.37,1.39,1.41,1.43,1.47
81,Danville,City,VA,1.31,1.32,1.35,1.41,1.45,1.52
82,Dauphin,County,PA,1.32,1.35,1.37,1.42,1.48,1.57
83,Delaware,County,NY,1.28,1.29,1.32,1.38,1.44,1.52
84,Delaware,County,PA,1.31,1.35,1.4,1.45,1.48,1.49
85,Dickenson,County,VA,1.27,1.27,1.28,1.31,1.35,1.38
86,Dinwiddie,County,VA,1.3,1.29,1.3,1.31,1.33,1.39
87,District of Columbia,County,DC,1.25,1.29,1.31,1.34,1.39,1.46
88,Doddridge,County,WV,1.24,1.25,1.26,1.27,1.32,1.39
89,Dorchester,County,MD,1.28,1.27,1.28,1.33,1.36,1.42
90,Elk,County,PA,1.29,1.3,1.3,1.32,1.38,1.44
91,Emporia,City,VA,1.2,1.23,1.25,1.28,1.36,1.46
92,Erie,County,PA,1.31,1.34,1.35,1.37,1.38,1.43
93,Essex,County,VA,1.34,1.36,1.34,1.35,1.37,1.42
94,Fairfax,County,VA,1.24,1.27,1.29,1.32,1.38,1.46
95,Fairfax,City,VA,1.25,1.27,1.29,1.3,1.36,1.43
96,Falls Church,City,VA,1.24,1.27,1.29,1.33,1.41,1.49
97,Fauquier,County,VA,1.33,1.36,1.37,1.4,1.4,1.42
98,Fayette,County,PA,1.24,1.29,1.32,1.37,1.43,1.5
99,Fayette,County,WV,1.27,1.27,1.27,1.3,1.29,1.29
100,Floyd,County,VA,1.35,1.34,1.34,1.37,1.4,1.43
101,Fluvanna,County,VA,1.36,1.47,1.54,1.6,1.69,1.79
102,Forest,County,PA,1.32,1.35,1.38,1.4,1.42,1.43
103,Franklin,County,PA,1.27,1.33,1.36,1.42,1.48,1.55
104,Franklin,County,VA,1.36,1.39,1.39,1.42,1.47,1.53
105,Franklin,City,VA,1.32,1.36,1.38,1.44,1.51,1.53
106,Frederick,County,MD,1.3,1.33,1.37,1.42,1.46,1.53
107,Frederick,County,VA,1.35,1.39,1.4,1.39,1.42,1.45
108,Fredericksburg,City,VA,1.27,1.33,1.38,1.45,1.5,1.62
109,Fulton,County,PA,1.34,1.37,1.4,1.45,1.49,1.54
110,Galax,City,VA,1.32,1.32,1.33,1.37,1.43,1.49
111,Garrett,County,MD,1.27,1.3,1.31,1.35,1.4,1.43
112,Giles,County,VA,1.32,1.31,1.3,1.31,1.32,1.35
113,Gilmer,County,WV,1.29,1.31,1.33,1.36,1.39,1.42
114,Gloucester,County,NJ,1.3,1.32,1.36,1.41,1.46,1.51
115,Gloucester,County,VA,1.26,1.26,1.26,1.29,1.33,1.42
116,Goochland,County,VA,1.34,1.43,1.47,1.54,1.61,1.72
117,Grant,County,WV,1.27,1.3,1.32,1.36,1.38,1.38
118,Grayson,County,VA,1.32,1.33,1.32,1.33,1.34,1.37
119,Greenbrier,County,WV,1.28,1.29,1.29,1.3,1.33,1.37
120,Greene,County,NY,1.35,1.41,1.43,1.47,1.49,1.53
121,Greene,County,PA,1.31,1.31,1.31,1.35,1.39,1.49
122,Greene,County,VA,1.33,1.36,1.36,1.43,1.52,1.59
123,Greensville,County,VA,1.26,1.25,1.26,1.3,1.37,1.46
