,index,NAME,TYPE,STATE,stateIDs,lat,lon,GEOID
135,138,Howard,County,MD,24,39.25303282,-76.93122568,24027
136,139,Hunterdon,County,NJ,34,40.56334733,-74.91284039,34019
137,140,Huntingdon,County,PA,42,40.42191613,-77.97726673,42061
138,141,Indiana,County,PA,42,40.6525369,-79.08979203,42063
139,142,Isle of Wight,County,VA,51,36.90566225,-76.70855328,51093
140,143,Jackson,County,WV,54,38.84258116,-81.68147368,54035
141,144,James City,County,VA,51,37.31157774,-76.76940422,51095
142,145,Jefferson,County,PA,42,41.12913472,-78.99852964,42065
143,146,Jefferson,County,WV,54,39.30699345,-77.86028517,54037
144,147,Juniata,County,PA,42,40.53358635,-77.39975071,42067
145,148,Kanawha,County,WV,54,38.33857229,-81.52855975,54039
146,149,Kent,County,DE,10,39.08646624,-75.56884914,10001
147,150,Kent,County,MD,24,39.24981594,-76.04736197,24029
148,151,King George,County,VA,51,38.26817691,-77.15851654,51099
149,152,King William,County,VA,51,37.70976727,-77.09053578,51101
150,153,King and Queen,County,VA,51,37.71057129,-76.88690272,51097
151,154,Lackawanna,County,PA,42,41.43547951,-75.60418146,42069
152,155,Lancaster,County,PA,42,40.0379531,-76.24722217,42071
153,156,Lancaster,County,VA,51,37.71889653,-76.46400482,51103
154,157,Lawrence,County,PA,42,40.99205521,-80.33391573,42073
155,158,Lebanon,County,PA,42,40.36586739,-76.45479658,42075
156,159,Lee,County,VA,51,36.70586667,-83.12606515,51105
157,160,Lehigh,County,PA,42,40.61291069,-75.5949744,42077
158,161,Lewis,County,WV,54,38.9947249,-80.49988181,54041
159,162,Lexington,City,VA,51,37.78228667,-79.44596041,51678
160,163,Lincoln,County,WV,54,38.17211691,-82.07017365,54043
161,164,Livingston,County,NY,36,42.72593444,-77.77970931,36051
162,165,Logan,County,WV,54,37.8299479,-81.93526088,54045
163,166,Loudoun,County,VA,51,39.08990083,-77.63481877,51107
164,167,Louisa,County,VA,51,37.97849713,-77.9627492,51109
165,168,Lunenburg,County,VA,51,36.94618528,-78.24133319,51111
166,169,Luzerne,County,PA,42,41.17821699,-75.9850149,42079
167,170,Lycoming,County,PA,42,41.34310539,-77.06629984,42081
168,171,Lynchburg,City,VA,51,37.40007824,-79.19884219,51680
169,172,Madison,County,NY,36,42.9163449,-75.67245342,36053
170,173,Madison,County,VA,51,38.4153948,-78.28199165,51113
171,174,Manassas,City,VA,51,38.74640947,-77.48519399,51683
172,175,Manassas Park,City,VA,51,38.77058531,-77.44399307,51685
173,176,Marion,County,WV,54,39.50981906,-80.24245633,54049
174,177,Marshall,County,WV,54,39.86064362,-80.66591062,54051
175,178,Martinsville,City,VA,51,36.68232799,-79.86385921,51690
176,179,Mason,County,WV,54,38.77071799,-82.02524219,54053
177,180,Mathews,County,VA,51,37.44164146,-76.34098896,51115
178,181,McDowell,County,WV,54,37.38001789,-81.65081768,54047
179,182,McKean,County,PA,42,41.80884514,-78.56936624,42083
180,183,Mecklenburg,County,VA,51,36.67882005,-78.36131056,51117
181,184,Mercer,County,NJ,34,40.28047017,-74.70479631,34021
182,185,Mercer,County,PA,42,41.30248872,-80.25816981,42085
183,186,Mercer,County,WV,54,37.40481169,-81.11023142,54055
184,187,Middlesex,County,VA,51,37.63191998,-76.55064617,51119
185,188,Mifflin,County,PA,42,40.60866915,-77.61344346,42087
186,189,Mineral,County,WV,54,39.41560862,-78.94104729,54057
187,190,Mingo,County,WV,54,37.73046262,-82.13335906,54059
188,191,Monmouth,County,NJ,34,40.26549699,-74.22240686,34025
