ID,Longterm SID,POR Start,POR End,Lat,Lon,rp_b_2-yr,rp_b_5-yr,rp_b_10-yr,rp_b_25-yr,rp_b_50-yr,rp_b_100-yr,FID,key_ix
USC00303773,USC00303773 6,"1898","2020",42.7743,-77.6083,1.73256386294727,2.21433811085131,2.51560274674715,2.87719499380507,3.13234947982756,3.37510006759555,"2808",id61_188
USC00306464,USC00306464 6,"1956","2017",42.91142,-77.98088,0,0,0,0,0,0,"2808",id61_188
USC00300343,USC00300343 6,"1895","2020",42.9203,-77.7557,0,0,0,0,0,0,"2808",id61_188
USC00303184,USC00303184 6,"1969","2020",42.8766,-77.0307,0,0,0,0,0,0,"2815",id61_189
USC00301152,USC00301152 6,"1942","2020",42.84505,-77.28071,1.77745867978645,2.22751609893459,2.48795497743235,2.77964184121787,2.97197490303631,3.14476601651808,"2815",id61_189
USC00300331,USC00300331 6,"1956","2020",42.7338,-76.6591,0,0,0,0,0,0,"2812",id61_190
USC00300321,USC00300321 6,"1897","2020",42.9327,-76.5447,0,0,0,0,0,0,"2812",id61_190
USC00308987,USC00308987 6,"1932","2019",42.9013,-76.8641,1.72914783823793,2.32158265775261,2.76267495385515,3.38260968418041,3.89243281150778,4.4448613212686,"2812",id61_190
USC00301265,USC00301265 6,"1932","2020",42.948,-76.7342,1.84414953934207,2.38623537227166,2.77942402114983,3.31901833110464,3.75268845254249,4.21348319563861,"2812",id61_190
USC00303050,USC00303050 6,"1948","2020",42.5192,-76.331,2.00451849278307,2.71561034045684,3.18558340030985,3.77844986548554,4.21759091919839,4.65291646707994,"2223",id61_191
USC00307780,USC00307780 6,"1900","2020",42.9461,-76.4313,0,0,0,0,0,0,"2223",id61_191
USC00306085,USC00306085 6,"1906","2020",42.5117,-75.5197,1.83855810376429,2.36283425576299,2.72187449143139,3.18957491920294,3.54697341770634,3.91077080630848,"2221",id61_192
USC00307705,USC00307705 6,"1907","2020",42.6773,-75.5066,1.89147917855437,2.35196754653515,2.6197878721875,2.92108853874267,3.12063699709712,3.30057744811035,"2221",id61_192
USC00305512,USC00305512 6,"1911","2020",42.8416,-75.7263,0,0,0,0,0,0,"2221",id61_192
USC00301752,USC00301752 6,"1893","2020",42.7166,-74.9266,1.87532838321682,2.42860288552728,2.84027208340957,3.41851224823827,3.89377589525301,4.40850685338336,"2225",id61_194
USC00308600,USC00308600 6,"1932","2020",42.7511,-73.6851,0,0,0,0,0,0,"2213",id61_196
USW00014735,USW00014735 6,"1938","2020",42.74722,-73.79912,2.04311665514319,2.71578551247156,3.22996186153941,3.97019264627105,4.59319059599756,5.28171020735626,"2213",id61_196
USC00305248,USC00305248 6,"1965","2020",42.85023,-73.60939,0,0,0,0,0,0,"2213",id61_196
USW00004724,USW00004724 6,"1951","2020",43.10833,-78.93806,0,0,0,0,0,0,"2512",id62_186
USC00304844,USC00304844 6,"1893","2020",43.18769,-78.60912,0,0,0,0,0,0,"2512",id62_186
USC00300055,USC00300055 6,"1938","2020",43.26338,-78.21527,0,0,0,0,0,0,"2521",id62_187
USC00300443,USC00300443 6,"1911","2020",43.02966,-78.16822,1.81555640645899,2.43082176389431,2.89623016543121,3.55987787458409,4.11330962496634,4.72016470573377,"2521",id62_187
USC00300937,USC00300937 6,"1893","2020",43.216,-77.9529,0,0,0,0,0,0,"2518",id62_188
USW00014768,USW00014768 6,"1926","2020",43.1167,-77.6767,1.71699387384903,2.23746336105954,2.61060932430478,3.11731056162852,3.52040605712746,3.94500359312085,"2518",id62_188
USC00305679,USC00305679 6,"1932","2020",43.04657,-77.08411,1.77982464807022,2.31221076803899,2.67009102818068,3.12851344446272,3.47315675276629,3.81914485722613,"2503",id62_189
USC00304952,USC00304952 6,"1932","2020",43.0731,-77.30196,0,0,0,0,0,0,"2503",id62_189
USC00307842,USC00307842 6,"1922","2020",43.2359,-77.0841,1.85021944064716,2.32255098513674,2.66287287842915,3.12709599583915,3.49801558787474,3.89017700096491,"2503",id62_189
USC00306314,USC00306314 6,"1926","2020",43.44991,-76.53685,1.89926995754372,2.44401430538569,2.80428780159179,3.25904519426995,3.5960865451485,3.93036683490377,"2500",id62_190
USC00301580,USC00301580 6,"1932","2020",43.05901,-76.83844,1.87843936950611,2.42288299390948,2.77739294643558,3.21864075894067,3.54123545942776,3.85750344598653,"2500",id62_190
USC00303087,USC00303087 6,"1900","2020",43.3049,-76.3938,0,0,0,0,0,0,"2509",id62_191
USW00014771,USW00014771 6,"1949","2020",43.1111,-76.1038,1.98549141616292,2.59088044535165,2.99106224679018,3.49596686419875,3.87001087547174,4.24085295381608,"2509",id62_191
USC00300379,USC00300379 6,"1893","2020",43.15,-76.3333,1.97910251802778,2.55373041861181,2.94824345627297,3.46332245671356,3.85779488815533,4.26008338178595,"2509",id62_191
USC00300870,USC00300870 6,"1932","2020",43.2386,-76.1964,1.90869729170824,2.51482726454967,2.9611954184447,3.58230263985343,4.08819047623791,4.63186803280322,"2509",id62_191
USC00305751,USC00305751 6,"1932","2019",43.2097,-75.6452,2.17975535037332,2.79156218146181,3.14669199771891,3.54551996219888,3.80920728137045,4.04664034185469,"2506",id62_192
USC00301110,USC00301110 6,"1946","2020",43.3305,-75.8416,0,0,0,0,0,0,"2506",id62_192
USC00308578,USC00308578 6,"1909","2020",43.2761,-75.1566,2.32017629876459,3.05567088695307,3.52829934865237,4.10961927911492,4.5297309611641,4.93758274752827,"2491",id62_193
USW00014717,USW00014717 6,"1893","2017",43.23333,-75.4,0,0,0,0,0,0,"2491",id62_193
USC00300785,USC00300785 6,"1949","2020",43.4361,-75.3697,2.39317002479902,3.01866502100924,3.43179468358297,3.9526458369735,4.3382228891159,4.72026345890022,"2491",id62_193
USC00306062,USC00306062 6,"1903","2020",43.1592,-74.2042,0,0,0,0,0,0,"2497",id62_195
USC00307484,USC00307484 6,"1955","2020",43.04121,-73.82109,0,0,0,0,0,0,"2494",id62_196
USC00307549,USC00307549 6,"1948","2015",43.1131,-73.5775,0,0,0,0,0,0,"2494",id62_196
USC00303284,USC00303284 6,"1943","2015",43.3246,-73.6781,2.32353519650352,2.93703697486538,3.30702276781982,3.73693214078843,4.03082636285345,4.30303332096477,"2494",id62_196
USC00301708,USC00301708 6,"1948","2020",43.3203,-73.9256,2.24617948723547,2.73786967126035,3.01912940559321,3.33091423977809,3.53443292853419,3.7157213098182,"2494",id62_196
USW00014750,USW00014750 6,"1944","2020",43.33845,-73.61028,2.05685231634658,2.71594713533254,3.15580125982961,3.71554976360206,4.13370192602535,4.55122455587341,"2494",id62_196
USC00306867,USC00306867 6,"1948","2020",43.5696,-76.1163,0,0,0,0,0,0,"1208",id63_191
USW00094790,USW00094790 6,"1949","2020",43.9922,-76.0217,1.81156019498039,2.34469847750087,2.67430822197189,3.06590709061829,3.33949531410726,3.59759716889786,"1208",id63_191
USC00300608,USC00300608 6,"1941","2020",43.5318,-75.9526,2.1603017000401,2.78277394830896,3.21970601637708,3.80173166948218,4.25622546132765,4.72745071734156,"1212",id63_192
USC00303851,USC00303851 6,"1924","2020",43.5752,-75.5207,2.37535561658873,3.15799788820261,3.74486388197416,4.57504648953317,5.26205392694903,6.01045320648705,"1212",id63_192
USC00303961,USC00303961 6,"1911","2020",43.8524,-75.7158,0,0,0,0,0,0,"1212",id63_192
USC00309000,USC00309000 6,"1893","2020",43.9761,-75.8753,1.95670712532994,2.52890015904892,2.93720336095828,3.4892794628165,3.92666075263762,4.38575473915658,"1212",id63_192
USC00304912,USC00304912 6,"1891","2020",43.7929,-75.4829,1.97260775236118,2.46430617239849,2.77837745488819,3.16259508448834,3.43880523348523,3.70576074737573,"1200",id63_193
USC00308248,USC00308248 6,"1925","2020",43.8999,-75.0367,1.92293416905724,2.53923018195956,3.0463550579835,3.82758959177929,4.52919717908611,5.3488614490813,"1200",id63_193
USC00300500,USC00300500 6,"1934","2020",43.887,-75.4349,0,0,0,0,0,0,"1200",id63_193
USC00306184,USC00306184 6,"1907","2020",43.7026,-74.9838,2.06293970806954,2.72277463045216,3.21724162101856,3.91631389312975,4.49450212864265,5.12406031079216,"1204",id63_194
