,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
178,Martinsville,City,VA,1.37,1.48,1.55,1.79,2.34,3.44
179,Mason,County,WV,1.23,1.29,1.43,1.78,2.19,2.6
180,Mathews,County,VA,1.28,1.35,1.45,1.75,2.08,1.99
181,McDowell,County,WV,1.29,1.33,1.38,1.49,1.6,1.69
182,McKean,County,PA,1.23,1.29,1.35,1.59,1.68,2.24
183,Mecklenburg,County,VA,1.25,1.33,1.4,1.55,1.72,2.22
184,Mercer,County,NJ,1.35,1.44,1.55,1.69,1.99,3.96
185,Mercer,County,PA,1.3,1.32,1.37,1.63,2.01,2.73
186,Mercer,County,WV,1.3,1.33,1.34,1.44,1.6,1.79
187,Middlesex,County,VA,1.25,1.4,1.68,2.21,2.76,2.47
188,Mifflin,County,PA,1.26,1.46,1.72,2.27,2.91,4.23
189,Mineral,County,WV,1.33,1.53,1.81,2.52,3.36,4.4
190,Mingo,County,WV,1.25,1.27,1.31,1.43,1.64,2.07
191,Monmouth,County,NJ,1.38,1.48,1.5,1.75,2.16,2.3
192,Monongalia,County,WV,1.28,1.29,1.33,1.49,1.68,2.11
193,Monroe,County,PA,1.35,1.63,1.96,2.66,3.5,8.22
194,Monroe,County,WV,1.29,1.33,1.34,1.38,1.64,1.94
195,Montgomery,County,MD,1.26,1.41,1.72,2.36,3.05,3.61
196,Montgomery,County,NY,1.32,1.36,1.38,1.76,2.31,3.51
197,Montgomery,County,PA,1.29,1.4,1.58,1.85,2.06,2.8
198,Montgomery,County,VA,1.33,1.36,1.46,1.66,1.88,1.98
199,Montour,County,PA,1.38,1.71,2.09,2.69,3.23,3.76
200,Morgan,County,WV,1.35,1.51,1.63,1.88,2.36,3.14
201,Morris,County,NJ,1.48,1.63,1.72,1.8,1.88,2.93
202,Nassau,County,NY,1.26,1.28,1.39,1.52,1.62,2.39
203,Nelson,County,VA,1.39,1.62,1.77,2.0,2.18,2.39
204,New Castle,County,DE,1.5,1.54,1.55,1.81,2.12,2.43
205,New Kent,County,VA,1.2,1.27,1.41,1.72,2.05,2.57
206,New York,County,NY,1.31,1.54,1.72,1.86,2.06,3.4
207,Newport News,City,VA,1.3,1.32,1.47,1.86,2.33,1.94
208,Nicholas,County,WV,1.25,1.28,1.4,1.64,1.89,2.1
209,Norfolk,City,VA,1.38,1.63,1.85,2.36,2.79,3.26
210,Northampton,County,PA,1.3,1.4,1.75,2.56,3.53,22.36
211,Northampton,County,VA,1.3,1.29,1.37,1.56,1.86,2.08
212,Northumberland,County,PA,1.37,1.72,2.09,2.8,3.54,3.9
213,Northumberland,County,VA,1.29,1.36,1.58,1.95,2.26,3.01
214,Norton,City,VA,1.26,1.32,1.4,1.74,2.1,2.58
215,Nottoway,County,VA,1.35,1.47,1.59,2.19,2.93,3.25
216,Ocean,County,NJ,1.3,1.34,1.38,1.52,1.66,2.55
217,Ohio,County,WV,1.3,1.3,1.39,1.63,1.94,3.46
218,Oneida,County,NY,1.27,1.31,1.33,1.49,1.69,2.41
219,Onondaga,County,NY,1.31,1.34,1.39,1.72,2.15,2.42
220,Ontario,County,NY,1.33,1.37,1.42,1.57,1.82,2.62
221,Orange,County,NY,1.33,1.51,1.7,2.07,2.54,2.84
222,Orange,County,VA,1.31,1.36,1.49,1.76,2.03,2.37
223,Otsego,County,NY,1.25,1.3,1.35,1.57,1.81,3.09
224,Page,County,VA,1.48,1.93,2.41,3.32,4.39,6.96
225,Patrick,County,VA,1.29,1.38,1.47,1.76,2.19,3.65
226,Pendleton,County,WV,1.37,1.55,1.68,1.86,2.07,2.91
227,Perry,County,PA,1.49,1.66,1.77,1.95,2.12,2.54
228,Petersburg,City,VA,1.28,1.35,1.41,1.7,2.07,2.62
229,Philadelphia,County,PA,1.37,1.37,1.4,1.59,2.02,2.5
230,Pike,County,PA,1.4,1.71,2.12,2.98,4.01,6.61
231,Pittsylvania,County,VA,1.38,1.42,1.42,1.56,1.71,2.1
232,Pleasants,County,WV,1.28,1.29,1.32,1.37,1.48,1.89
233,Pocahontas,County,WV,1.26,1.32,1.46,1.83,2.25,2.88
234,Poquoson,City,VA,1.29,1.35,1.49,1.79,2.12,2.01
235,Portsmouth,City,VA,1.34,1.45,1.56,1.73,1.9,2.32
236,Potter,County,PA,1.31,1.38,1.39,1.68,2.14,2.03
237,Powhatan,County,VA,1.34,1.42,1.68,2.18,2.69,2.99
238,Preston,County,WV,1.26,1.29,1.51,1.97,2.49,3.11
239,Prince Edward,County,VA,1.26,1.33,1.42,1.76,2.14,2.53
240,Prince George,County,VA,1.31,1.34,1.46,1.69,2.06,2.61
241,Prince George's,County,MD,1.22,1.3,1.39,1.63,1.93,2.22
242,Prince William,County,VA,1.23,1.3,1.47,1.91,2.42,2.96
243,Pulaski,County,VA,1.31,1.34,1.36,1.63,2.1,2.07
244,Putnam,County,WV,1.2,1.23,1.36,1.79,2.3,2.53
