,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
276,Steuben,County,NY,0.97,0.98,1.0,1.0,0.98,0.95
277,Suffolk,City,VA,1.06,1.04,1.0,0.95,0.9,0.9
278,Sullivan,County,NY,1.04,1.03,1.04,1.03,1.03,1.01
279,Sullivan,County,PA,1.08,1.1,1.09,1.05,1.01,0.9
280,Summers,County,WV,1.05,1.04,1.0,0.94,0.89,0.91
281,Surry,County,VA,1.07,1.04,1.02,0.99,0.96,0.9
282,Susquehanna,County,PA,1.04,1.06,1.09,1.08,1.05,1.01
283,Sussex,County,DE,1.06,1.03,1.02,0.98,0.91,0.86
284,Sussex,County,NJ,1.09,1.06,1.04,1.02,0.98,0.91
285,Sussex,County,VA,1.1,1.07,1.03,0.96,0.91,0.88
286,Talbot,County,MD,1.0,0.98,0.98,0.98,0.97,0.83
287,Taylor,County,WV,1.06,1.04,1.02,0.96,0.9,0.92
288,Tazewell,County,VA,1.11,1.11,1.1,1.09,1.07,0.99
289,Tioga,County,NY,0.97,0.99,1.04,1.04,1.0,0.98
290,Tioga,County,PA,1.04,1.06,1.03,0.98,0.94,0.93
291,Tompkins,County,NY,0.99,1.02,1.04,1.0,0.97,0.97
292,Tucker,County,WV,1.03,1.0,0.97,0.93,0.89,0.9
293,Tyler,County,WV,1.09,1.09,1.09,1.09,1.1,0.96
294,Ulster,County,NY,1.04,1.03,1.01,0.97,0.93,1.01
295,Union,County,PA,1.08,1.08,1.06,1.04,1.01,1.03
296,Upshur,County,WV,1.05,1.02,0.99,0.93,0.87,0.94
297,Venango,County,PA,0.96,0.96,0.98,0.97,0.94,0.95
298,Virginia Beach,City,VA,1.05,1.0,0.95,0.86,0.81,0.91
299,Warren,County,NJ,1.06,1.06,1.05,1.02,0.99,0.92
300,Warren,County,PA,0.98,0.96,0.95,0.95,0.96,0.94
301,Warren,County,VA,0.95,0.93,0.93,0.93,0.93,0.9
302,Washington,County,MD,1.1,1.11,1.13,1.14,1.14,0.93
303,Washington,County,PA,1.01,1.0,1.01,1.01,0.98,0.96
304,Washington,County,VA,1.11,1.09,1.05,1.01,0.98,0.94
305,Wayne,County,PA,1.09,1.09,1.08,1.06,1.04,0.97
306,Wayne,County,WV,1.08,1.07,1.06,1.03,0.99,0.94
307,Waynesboro,City,VA,0.98,0.96,0.94,0.87,0.84,0.87
308,Webster,County,WV,1.03,0.99,0.96,0.9,0.86,0.93
309,Westchester,County,NY,0.99,0.98,0.97,0.96,0.94,0.85
310,Westmoreland,County,PA,0.98,0.96,0.95,0.94,0.94,0.93
